 INFO  Accepting connections at http://localhost:3000
 HTTP  3/1/2026 9:04:42 AM ::1 GET /
 HTTP  3/1/2026 9:04:42 AM ::1 Returned 200 in 308 ms
 HTTP  3/1/2026 9:04:42 AM ::1 GET /static/js/main.9a1e73e6.js
 HTTP  3/1/2026 9:04:42 AM ::1 GET /static/css/main.6043a7ee.css
 HTTP  3/1/2026 9:04:42 AM ::1 Returned 200 in 6 ms
 HTTP  3/1/2026 9:04:42 AM ::1 Returned 200 in 39 ms
 HTTP  3/1/2026 9:04:43 AM ::1 GET /service-worker.js
 HTTP  3/1/2026 9:04:43 AM ::1 Returned 200 in 4 ms
 HTTP  3/1/2026 9:04:43 AM ::1 GET /logo_desa.png
 HTTP  3/1/2026 9:04:43 AM ::1 Returned 200 in 8 ms
 HTTP  3/1/2026 9:04:43 AM ::1 GET /service-worker.js
 HTTP  3/1/2026 9:04:43 AM ::1 Returned 304 in 3 ms
 HTTP  3/1/2026 9:04:44 AM ::1 GET /
 HTTP  3/1/2026 9:04:44 AM ::1 GET /index.html
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 301 in 0 ms
 HTTP  3/1/2026 9:04:44 AM ::1 GET /manifest.json
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 304 in 3 ms
 HTTP  3/1/2026 9:04:44 AM ::1 GET /index
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 301 in 0 ms
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 200 in 4 ms
 HTTP  3/1/2026 9:04:44 AM ::1 GET /logo_desa.png
 HTTP  3/1/2026 9:04:44 AM ::1 GET /
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 304 in 2 ms
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 304 in 2 ms
 HTTP  3/1/2026 9:04:44 AM ::1 GET /favicon.ico
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 200 in 4 ms
 HTTP  3/1/2026 9:04:44 AM ::1 GET /
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 304 in 3 ms
 HTTP  3/1/2026 9:04:44 AM ::1 GET /static/js/main.9a1e73e6.js
 HTTP  3/1/2026 9:04:44 AM ::1 GET /static/css/main.6043a7ee.css
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 304 in 1 ms
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 304 in 2 ms
 HTTP  3/1/2026 9:04:44 AM ::1 GET /service-worker.js
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 304 in 0 ms
 HTTP  3/1/2026 9:04:44 AM ::1 GET /logo_desa.png
 HTTP  3/1/2026 9:04:44 AM ::1 Returned 304 in 1 ms
 HTTP  3/1/2026 9:04:47 AM ::1 GET /service-worker.js
 HTTP  3/1/2026 9:04:47 AM ::1 Returned 304 in 1 ms
 HTTP  3/1/2026 9:05:42 AM ::1 GET /
 HTTP  3/1/2026 9:05:42 AM ::1 Returned 200 in 2 ms
 HTTP  3/1/2026 9:05:42 AM ::1 GET /static/js/main.9a1e73e6.js
 HTTP  3/1/2026 9:05:42 AM ::1 GET /static/css/main.6043a7ee.css
 HTTP  3/1/2026 9:05:42 AM ::1 Returned 200 in 2 ms
 HTTP  3/1/2026 9:05:42 AM ::1 Returned 200 in 3 ms
 HTTP  3/1/2026 9:05:43 AM ::1 GET /service-worker.js
 HTTP  3/1/2026 9:05:43 AM ::1 Returned 200 in 2 ms
 HTTP  3/1/2026 9:05:43 AM ::1 GET /auth
 HTTP  3/1/2026 9:05:43 AM ::1 Returned 200 in 1 ms
 HTTP  3/1/2026 9:05:43 AM ::1 GET /logo_desa.png
 HTTP  3/1/2026 9:05:43 AM ::1 Returned 200 in 1 ms
 HTTP  3/1/2026 9:05:43 AM ::1 GET /static/js/main.9a1e73e6.js
 HTTP  3/1/2026 9:05:43 AM ::1 GET /static/css/main.6043a7ee.css
 HTTP  3/1/2026 9:05:43 AM ::1 Returned 304 in 1 ms
 HTTP  3/1/2026 9:05:43 AM ::1 Returned 304 in 1 ms
 HTTP  3/1/2026 9:05:43 AM ::1 GET /service-worker.js
 HTTP  3/1/2026 9:05:43 AM ::1 Returned 304 in 2 ms
 HTTP  3/1/2026 9:05:43 AM ::1 GET /service-worker.js
